n,n0,strassen,mat_mul
1000,15,1.69,0.88
1000,16,0.94,0.75
1000,17,0.94,0.88
1000,18,0.88,0.81
1000,19,0.88,0.75
1000,20,0.94,0.75
1000,21,0.88,0.75
1000,22,0.88,0.69
1000,23,0.88,0.75
1000,24,0.88,0.81
1000,25,0.94,0.69
1000,26,0.88,0.75
1000,27,0.94,0.75
1000,28,0.88,0.75
1000,29,0.94,0.88
1000,30,0.88,0.75
1000,31,0.88,0.75
1000,32,0.62,0.75
1000,33,0.56,0.75
1000,34,0.62,0.75
1000,35,0.62,0.75
1000,36,0.62,0.69
1000,37,0.62,0.81
1000,38,0.62,0.88
1000,39,0.56,0.75
1000,40,0.62,0.75
1000,41,0.69,0.81
1000,42,0.69,0.75
1000,43,0.62,0.75
1000,44,0.62,0.69
1000,45,0.62,0.75
1000,46,0.56,0.81
1000,47,0.62,0.75
1000,48,0.62,0.75
1000,49,0.56,0.69
