n,n0,strassen,mat_mul
1200,15,1.94,1.31
1200,16,2.31,1.31
1200,17,2.31,1.31
1200,18,2.38,1.25
1200,19,1.31,1.25
1200,20,1.31,1.31
1200,21,1.31,1.38
1200,22,1.38,1.50
1200,23,1.81,1.69
1200,24,1.38,1.38
1200,25,1.38,1.31
1200,26,1.25,1.31
1200,27,1.31,1.50
1200,28,1.31,1.25
1200,29,1.38,1.25
1200,30,1.31,1.25
1200,31,1.25,1.31
1200,32,1.38,1.31
1200,33,1.31,1.25
1200,34,1.31,1.25
1200,35,1.44,1.25
1200,36,1.31,1.31
1200,37,1.31,1.31
1200,38,0.94,1.25
1200,39,1.00,1.25
1200,40,0.88,1.38
1200,41,0.94,1.31
1200,42,0.94,1.56
1200,43,0.88,1.31
1200,44,0.94,1.25
1200,45,0.94,1.25
1200,46,1.06,1.31
1200,47,0.81,1.25
1200,48,0.94,1.25
1200,49,0.94,1.38
