n,n0,strassen,mat_mul
500,5,0.44,0.06
500,6,0.44,0.06
500,7,0.44,0.06
500,8,0.19,0.12
500,9,0.19,0.06
500,10,0.25,0.06
500,11,0.19,0.06
500,12,0.19,0.06
500,13,0.25,0.06
500,14,0.19,0.12
500,15,0.19,0.12
500,16,0.12,0.12
500,17,0.12,0.06
500,18,0.12,0.06
500,19,0.19,0.12
500,20,0.12,0.06
500,21,0.19,0.06
500,22,0.12,0.06
500,23,0.12,0.12
500,24,0.12,0.06
500,25,0.12,0.06
500,26,0.12,0.12
500,27,0.12,0.06
500,28,0.12,0.06
500,29,0.12,0.06
500,30,0.12,0.06
500,31,0.12,0.06
500,32,0.06,0.12
500,33,0.25,0.25
500,34,0.12,0.12
500,35,0.06,0.06
500,36,0.06,0.12
500,37,0.06,0.06
500,38,0.06,0.12
500,39,0.06,0.06
500,40,0.06,0.12
500,41,0.06,0.12
500,42,0.06,0.06
500,43,0.06,0.12
500,44,0.06,0.06
500,45,0.12,0.06
500,46,0.06,0.06
500,47,0.12,0.06
500,48,0.06,0.19
500,49,0.12,0.12
