n,n0,strassen,mat_mul
801,5,3.12,0.38
801,6,3.50,0.31
801,7,1.19,0.31
801,8,1.31,0.31
801,9,1.31,0.31
801,10,1.31,0.31
801,11,1.31,0.44
801,12,1.50,0.44
801,13,0.62,0.38
801,14,0.88,0.50
801,15,0.56,0.38
801,16,0.62,0.38
801,17,0.75,0.50
801,18,0.62,0.44
801,19,0.62,0.31
801,20,0.69,0.38
801,21,0.56,0.38
801,22,0.62,0.38
801,23,0.62,0.38
801,24,0.62,0.38
801,25,0.69,0.31
801,26,0.44,0.38
801,27,0.31,0.38
801,28,0.38,0.38
801,29,0.38,0.38
801,30,0.44,0.38
801,31,0.44,0.38
801,32,0.44,0.31
801,33,0.56,0.38
801,34,0.38,0.38
801,35,0.38,0.44
801,36,0.44,0.38
801,37,0.44,0.31
801,38,0.44,0.38
801,39,0.44,0.56
801,40,0.38,0.56
801,41,0.69,0.50
801,42,0.38,0.31
801,43,0.44,0.44
801,44,0.38,0.38
801,45,0.44,0.31
801,46,0.38,0.38
801,47,0.38,0.38
801,48,0.38,0.38
801,49,0.38,0.38
