n,n0,strassen,mat_mul
1100,15,1.88,1.38
1100,16,2.75,2.44
1100,17,2.19,1.31
1100,18,1.25,1.19
1100,19,1.12,1.19
1100,20,1.19,1.19
1100,21,1.19,1.12
1100,22,1.38,1.19
1100,23,1.38,1.12
1100,24,1.31,1.12
1100,25,1.56,1.44
1100,26,1.31,1.12
1100,27,1.25,1.19
1100,28,1.31,1.25
1100,29,1.25,1.19
1100,30,1.25,1.12
1100,31,1.31,1.19
1100,32,1.25,1.12
1100,33,1.25,1.12
1100,34,1.25,1.12
1100,35,0.81,1.38
1100,36,0.75,1.44
1100,37,0.81,1.06
1100,38,1.31,1.12
1100,39,0.75,1.06
1100,40,0.75,1.12
1100,41,0.69,1.12
1100,42,0.75,1.06
1100,43,0.75,1.12
1100,44,0.75,1.06
1100,45,0.75,1.38
1100,46,0.88,1.06
1100,47,0.75,1.12
1100,48,0.75,1.12
1100,49,0.81,1.06
