n,n0,strassen,mat_mul
1101,15,1.81,1.50
1101,16,1.88,1.38
1101,17,2.06,1.31
1101,18,1.25,1.31
1101,19,1.25,1.25
1101,20,1.25,1.31
1101,21,1.31,1.25
1101,22,1.38,1.31
1101,23,1.25,1.31
1101,24,1.31,1.38
1101,25,1.19,1.44
1101,26,1.19,1.31
1101,27,1.19,1.25
1101,28,1.25,1.31
1101,29,1.25,1.31
1101,30,1.25,1.31
1101,31,1.31,1.38
1101,32,1.38,1.31
1101,33,1.31,1.25
1101,34,1.25,1.25
1101,35,0.75,1.38
1101,36,0.75,1.50
1101,37,0.75,1.31
1101,38,0.81,1.31
1101,39,0.81,1.31
1101,40,0.75,1.38
1101,41,0.94,2.44
1101,42,1.81,2.06
1101,43,0.75,1.69
1101,44,0.88,1.44
1101,45,0.69,1.31
1101,46,1.31,1.56
1101,47,0.75,1.31
1101,48,0.75,1.31
1101,49,0.75,1.31
