n,n0,strassen,mat_mul
501,5,0.44,0.06
501,6,0.38,0.06
501,7,0.44,0.06
501,8,0.19,0.06
501,9,0.19,0.06
501,10,0.19,0.06
501,11,0.19,0.06
501,12,0.19,0.06
501,13,0.25,0.06
501,14,0.19,0.12
501,15,0.19,0.06
501,16,0.12,0.12
501,17,0.06,0.06
501,18,0.19,0.06
501,19,0.12,0.06
501,20,0.12,0.06
501,21,0.12,0.06
501,22,0.12,0.06
501,23,0.12,0.06
501,24,0.06,0.12
501,25,0.12,0.06
501,26,0.12,0.06
501,27,0.12,0.06
501,28,0.12,0.06
501,29,0.12,0.06
501,30,0.12,0.12
501,31,0.12,0.06
501,32,0.06,0.06
501,33,0.06,0.12
501,34,0.06,0.06
501,35,0.06,0.06
501,36,0.06,0.12
501,37,0.06,0.06
501,38,0.06,0.12
501,39,0.06,0.06
501,40,0.06,0.06
501,41,0.12,0.06
501,42,0.06,0.12
501,43,0.06,0.06
501,44,0.06,0.06
501,45,0.12,0.06
501,46,0.06,0.06
501,47,0.06,0.12
501,48,0.06,0.06
501,49,0.06,0.12
