n,n0,strassen,mat_mul
100,1,0.19,0.00
100,2,0.06,0.00
100,3,0.00,0.00
100,4,0.00,0.00
100,5,0.00,0.00
100,6,0.00,0.00
100,7,0.06,0.00
100,8,0.00,0.00
100,9,0.00,0.00
100,10,0.00,0.00
100,11,0.00,0.00
100,12,0.00,0.00
100,13,0.00,0.00
100,14,0.00,0.00
100,15,0.00,0.00
100,16,0.00,0.00
100,17,0.00,0.00
100,18,0.00,0.00
100,19,0.00,0.00
100,20,0.00,0.00
100,21,0.00,0.00
100,22,0.00,0.00
100,23,0.00,0.00
100,24,0.00,0.00
100,25,0.00,0.00
100,26,0.00,0.00
100,27,0.00,0.00
100,28,0.00,0.00
100,29,0.00,0.00
100,30,0.00,0.00
100,31,0.00,0.00
100,32,0.00,0.00
100,33,0.00,0.00
100,34,0.00,0.00
100,35,0.00,0.00
100,36,0.00,0.00
100,37,0.00,0.00
100,38,0.00,0.00
100,39,0.00,0.00
100,40,0.00,0.00
100,41,0.00,0.00
100,42,0.00,0.00
100,43,0.00,0.00
100,44,0.00,0.00
100,45,0.00,0.00
100,46,0.00,0.00
100,47,0.00,0.00
100,48,0.00,0.00
100,49,0.00,0.00
