n,n0,strassen,mat_mul
1201,15,2.56,2.00
1201,16,2.38,1.94
1201,17,2.31,1.88
1201,18,2.44,1.94
1201,19,1.38,1.94
1201,20,1.38,1.88
1201,21,1.31,2.00
1201,22,1.62,2.06
1201,23,1.25,2.00
1201,24,1.31,2.12
1201,25,1.31,2.06
1201,26,1.38,1.88
1201,27,1.31,1.81
1201,28,1.25,1.88
1201,29,1.38,1.88
1201,30,1.38,1.94
1201,31,1.50,2.00
1201,32,1.31,1.81
1201,33,1.38,1.88
1201,34,1.31,1.94
1201,35,1.31,1.81
1201,36,1.44,2.31
1201,37,1.38,3.69
1201,38,1.31,3.75
1201,39,0.88,1.94
1201,40,0.94,1.81
1201,41,0.94,1.88
1201,42,0.88,1.81
1201,43,0.94,1.81
1201,44,0.94,1.88
1201,45,0.94,1.81
1201,46,0.94,1.75
1201,47,0.94,1.81
1201,48,1.00,2.38
1201,49,1.06,2.00
