n,n0,strassen,mat_mul
300,1,8.19,0.06
300,2,1.44,0.06
300,3,0.31,0.00
300,4,0.31,0.06
300,5,0.06,0.06
300,6,0.12,0.06
300,7,0.12,0.00
300,8,0.12,0.00
300,9,0.12,0.00
300,10,0.06,0.00
300,11,0.06,0.00
300,12,0.06,0.06
300,13,0.00,0.06
300,14,0.06,0.00
300,15,0.06,0.00
300,16,0.06,0.06
300,17,0.06,0.00
300,18,0.06,0.00
300,19,0.06,0.00
300,20,0.06,0.00
300,21,0.06,0.00
300,22,0.06,0.00
300,23,0.06,0.06
300,24,0.00,0.06
300,25,0.00,0.06
300,26,0.00,0.06
300,27,0.00,0.06
300,28,0.00,0.06
300,29,0.00,0.06
300,30,0.00,0.06
300,31,0.00,0.06
300,32,0.00,0.00
300,33,0.06,0.00
300,34,0.06,0.00
300,35,0.06,0.00
300,36,0.06,0.00
300,37,0.06,0.00
300,38,0.00,0.06
300,39,0.00,0.06
300,40,0.00,0.06
300,41,0.00,0.00
300,42,0.06,0.00
300,43,0.06,0.00
300,44,0.00,0.06
300,45,0.00,0.06
300,46,0.00,0.06
300,47,0.00,0.00
300,48,0.06,0.00
300,49,0.06,0.00
