n,n0,strassen,mat_mul
1001,5,3.19,0.88
1001,6,3.44,0.94
1001,7,3.25,0.94
1001,8,1.56,0.88
1001,9,1.56,0.88
1001,10,1.50,1.12
1001,11,1.50,0.88
1001,12,1.75,0.94
1001,13,1.50,0.88
1001,14,1.56,0.88
1001,15,1.56,0.81
1001,16,0.81,0.94
1001,17,0.88,0.94
1001,18,0.88,0.94
1001,19,0.88,0.88
1001,20,0.88,0.94
1001,21,0.94,1.00
1001,22,0.88,0.88
1001,23,0.88,0.94
1001,24,0.88,0.88
1001,25,0.94,0.88
1001,26,1.06,1.06
1001,27,0.88,1.00
1001,28,0.94,0.94
1001,29,0.88,1.00
1001,30,0.88,0.94
1001,31,0.88,1.06
1001,32,0.62,0.94
1001,33,0.56,0.94
1001,34,0.62,0.94
1001,35,0.56,1.00
1001,36,0.56,0.94
1001,37,0.56,0.94
1001,38,0.62,1.19
1001,39,0.94,1.00
1001,40,0.75,0.94
1001,41,0.75,0.94
1001,42,0.62,0.94
1001,43,0.62,0.88
1001,44,0.62,0.94
1001,45,0.56,0.94
1001,46,0.56,0.94
1001,47,0.56,0.94
1001,48,0.62,0.94
1001,49,0.56,0.94
